station	run
21	1002
21	1004
21	1005
21	1007
21	1010
21	1011
21	1011
21	1012
21	1012
21	1013
21	1014
21	1016
21	1017
21	1021
21	1022
21	1022
21	1023
21	1024
21	1027
21	1027
21	1028
21	1029
21	1030
21	1031
21	1031
21	1032
21	1033
21	1034
21	1035
21	1035
21	1036
21	1038
21	1039
21	1042
21	1043
21	1043
21	1044
21	1045
21	1046
21	1047
21	1048
21	1050
21	1051
21	1051
21	1055
21	1056
21	1057
21	1057
21	1058
21	1059
21	1060
21	1062
21	1063
21	1067
21	1068
21	1069
12	1
12	2
12	2
12	3
12	7
21	1071
12	8
21	1072
12	9
12	9
21	1073
12	10
21	1074
12	11
12	11
21	1075
12	12
21	1078
12	14
21	1080
12	15
21	1081
12	19
12	20
21	1085
12	20
21	1086
12	21
12	21
21	1087
12	22
12	22
21	1088
21	1089
12	23
21	1089
12	25
21	1091
12	27
21	1093
12	28
12	29
21	1095
12	30
12	30
12	31
12	31
21	1097
12	32
21	1098
12	33
12	33
21	1099
12	34
12	34
21	1100
12	35
12	35
21	1101
12	36
21	1102
12	38
21	1104
21	1105
22	1038
12	41
21	1107
12	42
12	43
12	43
12	44
21	1109
12	44
21	1110
12	45
12	45
21	1111
12	46
21	1112
12	47
21	1113
12	48
12	48
21	1114
12	49
21	1115
12	50
12	50
12	51
12	53
21	1119
12	54
21	1120
12	55
12	55
21	1121
12	56
12	56
21	1122
12	57
12	57
21	1123
12	58
21	1124
12	59
21	1125
12	61
21	1127
12	62
12	62
21	1128
12	65
21	1131
12	66
21	1132
12	67
12	67
21	1133
12	68
12	68
21	1134
12	69
21	1135
12	70
12	71
21	1137
12	74
21	1140
12	77
12	78
12	78
21	1144
12	79
12	79
21	1145
12	80
21	1146
12	81
21	1147
12	82
12	82
21	1148
12	83
12	83
21	1149
12	84
21	1150
21	1151
22	1084
21	1152
22	1085
21	1152
22	1086
21	1156
22	1090
21	1157
21	1157
21	1158
22	1091
22	1092
21	1159
21	1159
22	1093
21	1160
21	1160
21	1161
21	1161
22	1094
21	1162
22	1096
21	1163
22	1097
21	1167
22	1099
21	1169
21	1170
22	1100
22	1101
21	1170
22	1102
21	1171
21	1171
22	1103
21	1172
21	1172
22	1104
21	1173
21	1173
22	1105
21	1174
21	1174
22	1106
21	1175
22	1107
21	1177
22	1108
22	1109
21	1180
22	1112
21	1181
21	1181
22	1113
21	1183
22	1115
21	1184
22	1116
21	1185
21	1185
22	1117
21	1186
22	1118
21	1187
21	1187
21	1188
22	1119
21	1189
22	1121
21	1190
22	1122
21	1191
21	1194
22	1126
21	1195
22	1127
13	1
13	2
21	1196
22	1128
21	1197
22	1129
21	1198
22	1130
21	1198
21	1199
13	2
12	88
21	1201
12	89
12	91
13	7
12	92
12	94
13	10
12	95
13	11
12	96
12	96
13	12
12	97
21	1209
21	1210
12	98
13	14
22	1143
12	100
13	16
12	101
12	102
12	106
13	21
12	107
13	22
12	107
13	23
13	23
21	1221
13	24
13	24
12	110
12	111
13	25
12	112
13	27
12	113
13	28
12	117
13	32
12	118
12	118
12	119
12	119
13	33
13	34
12	120
13	35
12	121
12	125
13	43
12	126
12	126
13	44
12	129
12	130
12	130
12	131
12	131
13	49
13	50
12	132
12	133
13	51
12	134
13	52
12	135
12	136
12	137
12	137
12	138
12	139
13	57
12	140
13	59
12	141
12	141
13	60
12	143
13	61
13	62
12	144
12	145
13	63
12	146
13	64
12	149
13	68
12	153
13	71
12	154
12	154
13	72
12	155
12	155
13	73
12	156
13	75
12	157
13	76
12	159
13	79
13	81
21	1273
13	82
21	1274
21	1275
13	83
21	1276
12	172
12	173
13	84
21	1277
13	86
13	87
13	89
21	1278
13	90
21	1279
13	91
13	92
13	93
13	95
21	1280
21	1281
13	96
12	174
13	98
12	179
13	103
12	180
12	180
13	104
12	181
13	105
12	182
12	182
13	106
12	183
13	107
12	184
13	108
12	185
12	185
13	109
12	186
12	186
13	110
12	188
13	112
12	189
12	189
12	190
12	192
12	193
13	116
13	117
21	1303
21	1303
22	1235
21	1304
22	1236
21	1305
22	1237
21	1306
22	1238
21	1307
21	1307
22	1239
21	1308
22	1240
12	197
13	121
12	198
12	198
13	122
12	200
13	124
12	201
13	125
12	202
12	202
13	126
12	204
13	128
12	206
13	130
12	207
12	207
13	131
12	209
13	133
12	210
12	210
13	134
12	211
12	212
13	136
12	213
13	137
12	214
12	214
13	138
12	215
13	139
12	216
13	140
12	217
13	141
12	218
13	142
12	219
13	143
12	223
12	224
12	224
12	225
21	1340
12	225
21	1341
12	226
21	1342
13	148
12	227
12	228
13	149
12	230
13	151
12	231
12	237
13	157
13	158
12	238
12	238
13	159
12	239
12	239
13	160
12	240
13	161
12	241
13	162
12	242
12	243
13	163
12	244
13	164
13	165
12	249
13	170
12	250
13	171
12	250
13	172
12	251
12	251
13	173
12	252
12	252
13	174
12	253
12	254
12	254
13	175
12	255
13	176
13	177
12	258
13	179
11	1001
11	1002
11	1002
12	261
11	1003
11	1004
11	1004
12	263
11	1006
12	265
11	1007
11	1009
12	269
11	1010
11	1015
12	274
11	1016
11	1016
11	1017
11	1017
12	277
11	1018
11	1018
12	278
11	1019
12	279
11	1020
11	1020
12	280
11	1021
12	281
11	1026
12	286
12	287
13	206
12	288
13	207
12	288
13	208
12	289
13	209
12	290
12	290
13	210
12	291
12	291
12	292
12	292
13	211
12	293
13	212
13	213
12	294
12	295
12	295
13	214
12	296
13	216
12	297
11	1028
11	1029
11	1029
12	299
13	219
13	220
13	220
21	1415
21	1416
11	1030
13	221
11	1031
13	222
11	1032
13	223
11	1033
11	1034
13	225
11	1035
11	1035
11	1040
12	301
11	1041
12	302
11	1041
13	231
11	1042
13	232
13	233
11	1043
11	1043
12	303
11	1044
11	1044
12	304
11	1045
13	235
11	1046
11	1047
11	1047
13	237
11	1049
11	1050
11	1052
12	307
11	1053
12	308
11	1054
12	309
11	1055
11	1055
12	310
11	1056
12	311
11	1056
12	312
11	1057
11	1058
11	1058
12	313
11	1059
11	1059
12	314
11	1060
12	315
11	1061
12	317
11	1062
11	1063
11	1063
12	318
11	1064
12	319
11	1065
12	320
11	1066
12	321
